PALABRA EDICIONES,1
NORMA,3
CONTRALUZ,1
HARPER COLLINS INGLES,1
PLANETA,6
PUCK,1
LIBROS CUPULA,1
MARTINEZ ROCA,2
DESTINO,1
PLANETA COMIC,7
TIMUN MAS INFANTIL,1
EDICIONES DEUSTO,1
ESENCIA,1
DESTINO INFANTIL Y JUVENIL,3
ARIEL,1
MOLINO,1
BRUGUERA,2
DEBOLSILLO,2
SUMA EDITORIAL,1
MONTENA,4
PLAN B,1
B DE BLOK,1
EDIBESA EDITORIAL,1
ESPASA,1
BOOKET,1
PLANETA JUNIOR,1
TUSQUETS,1
BEASCOA,1
PLAZA & JANES,1
