Cuando no queden mas estrellas que contar,BOOKET,Maria Martinez,"9,45 €",https://static.bookscovers.es/imagenes/9788408/978840826354.GIF
La reconquista contada para escepticos,PLANETA,Juan Eslava Galan,"19,86 €",https://static.bookscovers.es/imagenes/9788408/978840826342.GIF
A traves de la lluvia trilogia hermanos hidalgo 3,MONTENA,"Godoy,Ariana","18,00 €",https://static.bookscovers.es/imagenes/9788418/978841848319.GIF
Guinness world records 2023,PLANETA JUNIOR,Guinness World Records,"24,65 €",https://static.bookscovers.es/imagenes/9788408/978840826026.GIF
Marcus pocus 2. titulo provisional,DESTINO INFANTIL Y JUVENIL,Pedro Mañas,"9,45 €",https://static.bookscovers.es/imagenes/9788408/978840826014.GIF
Todo va a mejorar,TUSQUETS,Almudena Grandes,"20,81 €",https://static.bookscovers.es/imagenes/9788411/978841107173.GIF
Fuego y sangre (cancion de hielo y fuego),DEBOLSILLO,"R.R. Martin, George            /            Wheatley, Doug","14,21 €",https://static.bookscovers.es/imagenes/9788466/978846636784.GIF
La patita que vino a cenar,BEASCOA,"Smallman, Steve            /            Dreidemy, Joelle","14,21 €",https://static.bookscovers.es/imagenes/9788448/978844886262.GIF
Se tiene que morir mucha gente,PLAZA & JANES,"Martin De La Cova, Victoria","19,86 €",https://static.bookscovers.es/imagenes/9788401/978840102721.GIF
Un reto magico,MONTENA,"Punset, Ana","9,45 €",https://static.bookscovers.es/imagenes/9788418/978841894968.GIF
