Open Circuits/The Inner Beauty of Electronic Components/By Windell Oskay and Eric Schlaepfer/$39.99
Engineering in Plain Sight/An Illustrated Field Guide to the Constructed Environment/By Grady Hillhouse/$39.99
The LEGO Engineer//By Jeff Friesen/$24.99
"Python for Kids, 2nd Edition/A Playful Introduction to Programming/By Jason R. Briggs/$34.99"
"Python Crash Course, 3rd Edition/A Hands-On, Project-Based Introduction to Programming/By Eric Matthes/$44.99"
Cybersecurity for Small Networks/A No-Nonsense Guide for the Reasonably Paranoid/By Seth Enoka/$39.99
Rust for Rustaceans/Idiomatic Programming for Experienced Developers/By Jon Gjengset/$39.99
The Game Console 2.0/ A Photographic History from Atari to Xbox/By Evan Amos/$39.99
Hacking APIs/Breaking Web Application Programming Interfaces /By Corey Ball/$59.99
Introduction to Computer Organization: ARM	//By Robert G. Plantz/$59.99
"Metasploit, 2nd Edition//By David Kennedy, Mati Aharoni, Devon Kearns, Jim O’Gorman, and Daniel Graham/$59.99"
PHP Crash Course//By Matt Smith/$39.99
Writing a C Compiler/Build a Real Programming Language from Scratch/By Nora Sandler/$59.99
Arduino for Arduinians//By John Boxall/$39.99
Applied Math for Security/An Introduction for Programmers/By Daniel Reilly/$49.99
Codebreaking/A Practical Guide/By Elonka Dunin and Klaus Schmeh/$29.99
Elements of Data Science//By Allen B. Downey/$49.99
The Art of Machine Learning/Algorithms + Data + R/By Norman Matloff/$49.99
"Hacks, Leaks, and Revelations//By Micah Lee/$49.99"
"Field Expedient SDR, Volume One	//By Paul Clark and David Clark/$24.99"
JavaScript Crash Course//By Nick Morgan/$34.99
"Python Playground, 2nd Edition//By Mahesh Venkitachalam/$39.99"
Getting Started with FPGAs//By Russell Merrick/$49.99
"The Shape of Data/Network Science, Geometry-Based Machine Learning, and Topological Data Analysis in R/By Colleen M. Farrelly and Yaé Ulrich Gaba/$54.99"
Practical Julia//By Lee Phillips/$59.99
Dive Into Data Science/Use Python To Tackle Your Toughest Business Challenges/By Bradford Tuckfield/$39.99
Modeling and Simulation in Python/Use Computation to Predict and Explain the World/By Allen B. Downey/$39.99
MySQL Crash Course/A Hands-on Introduction to Database Development/By Rick Silva/$49.99
"Ada & Zangemann/A Tale of Software, Skateboards, and Raspberry Ice Cream/By Matthias Kirschner; illustrated by Sandra Brandstätter/$17.99"
Learn Physics with Functional Programming/A Hands-on Guide to Exploring Physics with Haskell/By Scott N. Walck/$49.99
"Python Tools for Scientists/An Introduction to Using Anaconda, JupyterLab, and Python's Scientific Libraries/By Lee Vaughan/$49.99"
"Black Hat GraphQL/Attacking Next Generation APIs/By Dolev Farhi, Nick Aleks/$59.99"
"The Rust Programming Language, 2nd Edition//By Steve Klabnik and Carol Nichols/$49.99"
Dead Simple Python/Idiomatic Python for the Impatient Programmer/By Jason C. McDonald/$59.99
How to Hack Like a Legend/Breaking Windows/By Sparc Flow/$29.99
AVR Workshop/A Hands-On Introduction with 60 Projects/By John Boxall/$44.99
Getting Started with LEGO® MINDSTORMS/Learn the Basics of Building and Programming Robots/By Barbara Bratzel and Rob Torok/$19.99
Mastering LEGO® MINDSTORMS/Build Better Robots with Python and Word Blocks/By Barbara Bratzel and Rob Torok/$19.99
Data Structures the Fun Way/An Amusing Adventure with Coffee-Filled Examples/By Jeremy Kubica/$39.99
"The Book of Dash/Build Dashboards with Python and Plotly/By Adam Schroeder, Christian Mayer, and Ann Marie Ward/$34.99"
Strange Code/Esoteric Languages That Make Programming Fun Again/By Ronald T. Kneusel/$49.99
"Dive Into Systems/A Gentle Introduction to Computer Systems/By Suzanne J. Matthews, Tia Newhall, and Kevin C. Webb/$79.99"
The Book of I²C/A Guide for Adventurers/By Randall Hyde/$49.99
The Book of Kubernetes/A Complete Guide to Container Orchestration/By Alan Hohn/$59.99
The Recursive Book of Recursion/Ace the Coding Interview with Python and JavaScript/By Al Sweigart/$39.99
Python for Data Science/A Hands-On Introduction/By Yuli Vasiliev/$29.99
The Art of Clean Code/Best Practices to Eliminate Complexity and Simplify Your Life/By Christian Mayer/$29.99
Bare Metal C/Embedded Programming for the Real World/By Stephen Oualline/$49.99
Androids/The Team That Built the Android Operating System/By Chet Haase/$24.99
DevOps for the Desperate/ A Hands-On Survival Guide/By Bradley Smith/$29.99
The Art of Mac Malware/The Guide to Analyzing Malicious Software/By Patrick Wardle/$44.99
An Artist's Guide to Programming/A Graphical Introduction/By Jim Parker/$34.99
Practical Social Engineering/A Primer for the Ethical Hacker/By Joe Gray/$34.99
"The Art of Cyberwarfare/An Investigator's Guide to Espionage, Ransomware, and Organized Cybercrime/By Jon DiMaggio/$39.99"
"Practical SQL, 2nd Edition/A Beginner’s Guide to Storytelling with Data/By Anthony DeBarros/$39.99"
Go H*ck Yourself/A Simple Introduction to Cyber Attacks and Defense/By Bryson Payne/$29.99
Introduction to Computer Organization/An Under the Hood Look at Hardware and x86-64 Assembly/By Bob Plantz/$59.99
Practical Doomsday/A User's Guide to the End of the World/By Michal Zalewski/$24.99
Object-Oriented Python/Master OOP by Building Games and GUIs/By Irv Kalb/$44.99
The Hardware Hacking Handbook/Breaking Embedded Security with Hardware Attacks/By Colin O'Flynn and Jasper van Woudenberg/$49.99
Bug Bounty Bootcamp/The Guide to Finding and Reporting Web Vulnerabilities/By Vickie Li/$49.99
Designing Secure Software/A Guide for Developers/By Loren Kohnfelder/$49.99
Practical Linux Forensics/A Guide for Digital Investigators/By Bruce Nikkel/$59.99
Math for Deep Learning/What You Need to Know to Understand Neural Networks/By Ronald T. Kneusel/$49.99
"The Book of Inkscape, 2nd Edition/The Definitive Guide to the Graphics Editor/By Dmitry Kirsanov/$49.99"
Robot Tote Bag///$10.00
"The Art of 64-Bit Assembly, Volume 1/x86-64 Machine Organization and Programming/By Randall Hyde/$79.99"
Ethical Hacking/A Hands-on Introduction to Breaking In/By Daniel G. Graham/$49.99
The LEGO MINDSTORMS Robot Inventor Activity Book/A Beginner’s Guide to Building and Programming LEGO Robots/By Daniele Benedettelli/$34.99
The LEGO MINDSTORMS Robot Inventor Idea Book/128 Simple Machines and Clever Contraptions/By Yoshihito Isogawa/$34.99
LEGO® Space Projects/52 Creative Models/By Jeff Friesen/$19.99
Make Python Talk/Build Apps with Voice Control and Speech Recognition/By Mark Liu/$39.99
Homemade Robots/10 Simple Bots to Build with Stuff Around the House/By Randy Sarafan/$17.99
Programming with OpenSCAD/A Beginner's Guide to Coding 3D-Printable Objects/By Justin Gohde and Marius Kintel/$29.99
The Missing README/A Guide for the New Software Engineer/By Chris Riccomini and Dmitriy Ryaboy/$24.99
LEGO Technic Non-Electric Models: Clever Contraptions//By Yoshihito Isogawa/$24.99
LEGO Technic Non-Electric Models: Simple Machines//By Yoshihito Isogawa/$24.99
Learn to Code by Solving Problems/A Python Programming Primer/By Daniel Zingaro/$34.99
Hardcore Programming for Mechanical Engineers/Build Engineering Applications from Scratch/By Angel Sola Orbaiceta/$59.99
Hello Web Design/Design Fundamentals and Shortcuts for Non-Designers/By Tracy Osborn/$24.99
The Big Book of Small Python Projects/81 Easy Practice Programs/By Al Sweigart/$39.99
Deep Learning: A Visual Approach//By Andrew Glassner/$99.99
How Cybersecurity Really Works/A Hands-On Guide for Total Beginners/By Sam Grubb/$24.99
"Arduino Workshop, 2nd Edition/A Hands-On Introduction with 65 Projects/By John Boxall/$34.99"
"The Art of WebAssembly/Build Secure, Portable, High-Performance Applications/By Rick Battagline/$44.99"
Computer Graphics from Scratch/A Programmer's Introduction to 3D Rendering/By Gabriel Gambetta/$49.99
Carbon: One Atom's Odyssey//By John Barnett/$17.95
How to Hack Like a Ghost/Breaching the Cloud/By Sparc Flow/$34.99
Cyberjutsu/Cybersecurity for the Modern Ninja/By Ben McCarty/$29.99
Learn Python Visually/Creative Coding with Processing.py/By Tristan Bunn/$49.99
"Black Hat Python, 2nd Edition/Python Programming for Hackers and Pentesters/By Justin Seitz and Tim Arnold/$44.99"
"How Linux Works, 3rd Edition/What Every Superuser Should Know/By Brian Ward/$44.99"
"Practical IoT Hacking/The Definitive Guide to Attacking the Internet of Things/By Fotios Chantzis, Ioannis Stais, Paulino Calderon, Evangelos Deirmentzoglou, Beau Woods/$49.99"
Kill It with Fire/Manage Aging Computer Systems (and Future Proof Modern Ones)/By Marianne Bellotti/$19.99
Network Programming with Go/Code Secure and Reliable Network Services from Scratch/By Adam Woodbeck/$49.99
Practical Deep Learning/A Python-Based Introduction/By Ronald T. Kneusel/$59.95
Crypto Dictionary/500 Tasty Tidbits for the Curious Cryptographer/By Jean-Philippe Aumasson/$24.99
Machine Learning for Kids/A Project-Based Introduction to Artificial Intelligence/By Dale Lane/$34.95
Dive Into Algorithms/A Pythonic Adventure for the Intrepid Beginner/By Bradford Tuckfield/$39.95
Scratch 3 Programming Playground//By Al Sweigart/$24.95
"PoC||GTFO, Volume 3//By Manul Laphroaig/$40.00"
Racket Programming the Fun Way/From Strings to Turing Machines/By James W. Stelly/$49.95
Algorithmic Thinking/A Problem-Based Introduction/By Daniel Zingaro/$49.95
Beyond the Basic Stuff with Python/Best Practices for Writing Clean Code/By Al Sweigart/$34.95
How Computers Really Work/A Hands-On Guide to the Inner Workings of the Machine/By Matthew Justice/$39.95
The Coding Workbook/Build a Website with HTML & CSS/By Sam Taylor/$14.95
"How the Internet Really Works/An Illustrated Guide to Protocols, Privacy, Censorship, and Governance/By ARTICLE 19/$19.95"
Real-World Python/A Hacker's Guide to Solving Problems with Code/By Lee Vaughan/$34.95
High-Tech LEGO Projects/16 Rule-Breaking Inventions/By Grady Koch/$29.95
Practical Vulnerability Management/A Strategic Approach to Managing Cyber Risk/By Andrew Magnusson/$29.95
Coding in the Classroom/Why You Should Care About Teaching Computer Science/By Ryan Somma/$19.95
The Ghidra Book/The Definitive Guide/By Chris Eagle and Kara Nance/$59.95
"Write Great Code, Volume 3/Engineering Software/By Randall Hyde/$49.95"
Effective C/An Introduction to Professional C Programming/By Robert C. Seacord/$49.95
LEGO Train Projects/7 Creative Models/By Charles Pritchett/$24.95
"Write Great Code, Volume 2, 2nd Edition/Thinking Low-Level, Writing High-Level/By Randall Hyde/$49.95"
"Write Great Code, Volume 1, 2nd Edition/Understanding the Machine/By Randall Hyde/$49.95"
Web Security for Developers//By Malcolm McDonald/$29.95
From Arsenic to Zirconium/Poems and Surprising Facts about the Elements/By Dr. Peter Davern/$18.95
"Game Boy Modding/A Beginner's Guide to Game Boy Mods, Collecting, History, and More!/By Greg Farrell/$24.95"
"Python One-Liners/Write Concise, Eloquent Python Like a Professional/By Christian Mayer/$39.95"
Natural Language Processing with Python and spaCy/A Practical Introduction/By Yuli Vasiliev/$39.95
"Black Hat Go/Go Programming for Hackers and Pentesters/By Tom Steele, Chris Patten, and Dan Kottmann/$39.95"
PowerShell for Sysadmins/Workflow Automation Made Easy/By Adam Bertram/$29.95
"The Cult of Mac, 2nd Edition//By Leander Kahney and David Pierini/$39.95"
"Raspberry Pi Projects for Kids/Create an MP3 Player, Mod Minecraft, Hack Radio Waves, and More!/By Dan Aldred/$24.95"
Learn to Program with App Inventor/A Visual Introduction to Building Apps/By Lyra Blizzard Logan/$24.95
Mining Social Media/Finding Stories in Internet Data/By Lam Thuy Vo/$29.95
"Automate the Boring Stuff with Python, 2nd Edition/Practical Programming for Total Beginners/By Al Sweigart/$39.99"
Make Your Own PuzzleScript Games!//By Anna Anthropy/$17.95
"Autotools, 2nd Edition/A Practitioner's Guide to GNU Autoconf, Automake, and Libtool/By John Calcote/$49.95"
25 Scratch 3 Games for Kids/A Playful Guide to Coding/By Max Wainewright/$19.95
Foundations of Information Security/A Straightforward Introduction/By Jason Andress/$39.95
C++ Crash Course/A Fast-Paced Introduction/By Josh Lospinoso/$59.95
Micro:bit for Mad Scientists/30 Clever Coding and Electronics Projects for Kids/By Simon Monk/$24.95
Super Scratch Programming Adventure! (Scratch 3)//By The LEAD Project/$19.95
The Hardware Hacker (Paperback edition)/Adventures in Making and Breaking Hardware/By Andrew “bunnie” Huang/$18.95
The LEGO Castle Book/Build Your Own Mini Medieval World/By Jeff Friesen/$24.95
Your Linux Toolbox//By Julia Evans/$29.95
Build a LEGO Mustang//By Paweł “Sariel” Kmieć/$19.95
The Secret Life of Programs/Understand Computers -- Craft Better Code/By Jonathan E. Steinhart/$44.95
Death Metal T-Shirt (2018)///$25.00
Real-World Bug Hunting/A Field Guide to Web Hacking/By Peter Yaworski/$39.95
"Bayesian Statistics the Fun Way/Understanding Statistics and Probability with Star Wars, LEGO, and Rubber Ducks/By Will Kurt/$34.95"
Make Your Own Scratch Games!//By Anna Anthropy/$17.95
A Beginner's Guide to 3D Modeling/A Guide to Autodesk Fusion 360/By Cameron Coward/$24.95
The Official Scratch Coding Cards (Scratch 3.0)/Creative Coding Activities for Kids/By Natalie Rusk and the Scratch Team/$24.95
"Rootkits and Bootkits/Reversing Modern Malware and Next Generation Threats/By Alex Matrosov, Eugene Rodionov, and Sergey Bratus/$49.95"
Make Your Own Twine Games!//By Anna Anthropy/$17.95
"Make Your Own Pixel Art/Create Graphics for Games, Animations, and More!/By Jennifer Dawe and Matthew Humphries/$19.95"
"The Linux Command Line, 2nd Edition/A Complete Introduction/By William Shotts/$39.95"
"Learn Robotics with Raspberry Pi/Build and Code Your Own Moving, Sensing, Thinking Robots/By Matt Timmons-Brown/$24.95"
"Python Flash Cards/Syntax, Concepts, and Examples/By Eric Matthes/$27.95"
Math Adventures with Python/An Illustrated Guide to Exploring Math with Code/By Peter Farrell/$29.95
"Serious Python/Black-Belt Advice on Deployment, Scalability, Testing, and More /By Julien Danjou/$34.95"
"Practical Binary Analysis/Build Your Own Linux Tools for Binary Instrumentation, Analysis, and Disassembly/By Dennis Andriesse/$49.95"
Understanding Photography/Master Your Digital Camera and Capture That Perfect Photo/By Sean T. McHugh/$29.95
"Eloquent JavaScript, 3rd Edition/A Modern Introduction to Programming/By Marijn Haverbeke/$39.95"
"Linux Basics for Hackers/Getting Started with Networking, Scripting, and Security in Kali/By OccupyTheWeb/$34.95"
Impractical Python Projects/Playful Programming Activities to Make You Smarter/By Lee Vaughan/$29.95
The LEGO BOOST Activity Book/A Beginner's Guide to Robotics/By Daniele Benedettelli/$24.95
The Computer Science Activity Book/24 Pen-and-Paper Projects to Explore the Wonderful World of Coding (No Computer Required!)/By Christine Liu and Tera Johnson/$8.95
The LEGO Neighborhood Book 2/Build Your Own City!/By Brian Lyles and Jason Lyles/$19.95
The LEGO Zoo/50 Easy-to-Build Animals/By Jody Padulano/$19.95
LEGO Micro Cities/Build Your Own Mini Metropolis!/By Jeff Friesen/$24.95
"A Beginner's Guide to Circuits/Nine Simple Projects with Lights, Sounds, and More!/By Øyvind Nydal Dahl/$17.95"
"The LEGO Christmas Ornaments Book, Volume 2/16 Designs to Spread Holiday Cheer!/By Chris McVeigh/$19.95"
Mission Python/Code a Space Adventure Game!/By Sean McManus/$29.95
"Absolute FreeBSD, 3rd Edition/The Complete Guide to FreeBSD/By Michael W. Lucas/$59.95"
"The LEGO Architecture Idea Book/1001 Ideas for Brickwork, Siding, Windows, Columns, Roofing, and Much, Much More!/By Alice Finch/$24.95"
Malware Data Science/Attack Detection and Attribution/By Joshua Saxe with Hillary Sanders/$49.95
The LEGO BOOST Idea Book/95 Simple Robots and Hints for Making More!/By Yoshihito Isogawa/$24.95
"PoC||GTFO, Volume 2//By Manul Laphroaig/$40.00"
Pentesting Azure Applications/The Definitive Guide to Testing and Securing Deployments/By Matt Burrough/$39.95
"The Manga Guide to Cryptography//By Masaaki Mitani, Shinichi Sato, Idero Hinoki, and Verte Corp./$24.95"
ScratchJr Coding Cards/Creative Coding Activities/By Marina Umaschi Bers and Amanda Sullivan/$24.95
"10 LED Projects for Geeks/Build Light-Up Costumes, Sci-Fi Gadgets, and Other Clever Inventions/By John Baichtal/$24.95"
"Coding with Minecraft/Build Taller, Farm Faster, Mine Deeper, and Automate the Boring Stuff/By Al Sweigart/$29.95"
"20 Easy Raspberry Pi Projects/Toys, Tools, Gadgets, and More!/By Rui Santos and Sara Santos/$24.95"
Cracking Codes with Python/An Introduction to Building and Breaking Ciphers/By Al Sweigart/$29.95
"Attacking Network Protocols/A Hacker's Guide to Capture, Analysis, and Exploitation/By James Forshaw/$49.95"
Serious Cryptography/A Practical Introduction to Modern Encryption/By Jean-Philippe Aumasson/$49.95
Learn Java the Easy Way/A Hands-On Introduction to Programming/By Bryson Payne/$29.95
The LEGO Trains Book//By Holger Matthes/$24.95
"Computers for Seniors/Email, Internet, Photos, and More in 14 Easy Lessons/By Chris, Carrie, and Cheryl Ewin /$24.95"
"Arduino Project Handbook, Vol. 2/25 Simple Electronics Projects for Beginners/By Mark Geddes/$24.95"
"The Manga Guide to Microprocessors//By Michio Shibuya, Takashi Tonagi, and Office Sawa/$24.95"
PoC||GTFO//By Manul Laphroaig/$40.00
Arduino Inventor's Guide/Learn Electronics by Making 10 Awesome Projects/By Brian Huang and Derek Runberg/$29.95
Gray Hat C#/A Hacker's Guide to Creating and Automating Security Tools/By Brandon Perry/$49.99
Coding iPhone Apps for Kids/A Playful Introduction to Swift/By Gloria Winquist and Matt McCarthy/$29.95
"Practical Packet Analysis, 3rd Edition/Using Wireshark to Solve Real-World Network Problems/By Chris Sanders/$49.95"
Arduino Playground/Geeky Projects for the Experienced Maker/By Warren Andrews/$29.95
"Facebook for Seniors/Connect with Friends and Family in 12 Easy Lessons/By Carrie, Chris, and Cheryl Ewin /$24.95"
"Invent Your Own Computer Games with Python, 4th Edition//By Al Sweigart/$29.95"
Beautiful Minecraft //By James Delaney/$19.95
"Wicked Cool Shell Scripts, 2nd Edition/101 Scripts for Linux, OS X, and UNIX Systems/By Dave Taylor and Brandon Perry /$34.95"
"The Unofficial LEGO Technic Builder's Guide, 2nd Edition//By Pawel “Sariel” Kmieć /$34.95"
The LEGO Animation Book/Make Your Own LEGO Movies!/By David Pagano and David Pickett /$19.95
The LEGO Christmas Ornaments Book/15 Designs to Spread Holiday Cheer/By Chris McVeigh/$19.95
Geeky LEGO Crafts/21 Fun and Quirky Projects/By David Scarfe/$19.95
Practical Forensic Imaging /Securing Digital Evidence with Linux Tools/By Bruce Nikkel/$49.95
Understanding ECMAScript 6/The Definitive Guide for JavaScript Developers/By Nicholas C. Zakas/$34.95
"The CS Detective/An Algorithmic Tale of Crime, Conspiracy, and Computation/By Jeremy Kubica/$19.99"
Game Hacking/Developing Autonomous Bots for Online Games/By Nick Cano/$44.95
