A condessa Vésper 
A despedida 
A favor del lector feliz 
A flor de piel : novela 
A fuego lento 
A increible historia de Humberto Abundio 
A la luz de las palabras 
"A la sombra de los libros : lectura, mercado y vida pública "
A la sombra del ciprés. Cuentos y fantasías 
A maldición da Semana Santa 
A mao e a luva 
A model of support for theatrical research : (Collection of Essays and Theatrical Research Award Juan Cervera) 
A morte a todos iguala 
A ningún sitio 
A paciência constante : discursos poéticos em estilo pastoril 
A poesia interminável de Cruz e Sousa 
A propósito de un viaje 
A todo honor 
A vida é unha caixa de sorpresas 
ABCdario de la animación a la lectura 
El abecedario de Don Hilario. Selección 
Abel Martín. Cancionero de Juan de Mairena. Prosas varias 
Los abismos 
El absurdo en los niños y los libros absurdos para ellos 
La abuela del bosque : novela 
El abuelo del rey 
El abuelo del rey 
El abuelo : (novela en cinco jornadas) 
El abuelo y el nieto 
El aburrimiento 
Academia : Boletín de la Real Academia de Bellas Artes de San Fernando. Primer semestre 1968. Número 26. Bibliografía 
"Acción colectiva, vida cotidiana y democracia "
Aceitunita y hueso al plato : despertar el carácter emprendedor desde los cuentos infantiles 
Acercamiento a la Cultura de Honduras 
Acta 7 de diciembre de 2000 
Actas de las III Jornadas de Literatura Argentina 
"Actas del congreso ""Las palabras (des)atadas"" (Encuentro de hispanistas 2015) "
Actas del Congreso Narrativa Española (1950
Actas del IV Coloquio Internacional de Estudios sobre África y Asia. Del 31 de octubre al 2 de noviembre de 2002 en Elche  
Actividad física desde la promoción y prevención en Fisioterapia 
"Actividades ""AETIJ"" 1987. Informe "
Acto de clausura. Discurso del Ilmo. Sr. Director General de Música y Teatro Don Manuel Camacho y de Ciria 
"Actuar para los niños, el oficio más hermoso del mundo "
Adán y Eva 
Adelante : Órgano del Partido Socialista Obrero Español de B.
Adelante : Órgano del Partido Socialista Obrero Español de B.
Adelante : Órgano del Partido Socialista Obrero Español de B.
Adelante : Órgano del Partido Socialista Obrero Español de B.
Adelante : Órgano del Partido Socialista Obrero Español de B.
Adelante : Órgano del Partido Socialista Obrero Español de B.
